Group_ID,Platform,Relationship_Type,Num_Vendors,Num_Devices,Vendors,Devices
D1_C0001,Amazon Alexa,Ecosystem,52,162,360|Amazon|Amcrest|Aqara|Arlo|Belkin|Blink|Bose|Canary|D-Link|Dalen|Ecovacs|Edimax|Ezviz|Flux|Foscam|Gosound|Govee|HP|Harman Kardon|Homematic|HoneyWell|Huawei|Invoxia|Koogeek|LG|Lenovo|LiFX|Logitech|Magic Home|Meross|Microseven|Mijia|Nest|Netatmo|Philips|Ring|Roku|Roomba|Samsung|Smarter|Smartmi|Sonoff|Sonos|TP-Link|Tuya|Wansview|Wiz|Xiaomi|Yi|Zmodo|iHome,360 Camera_selfdata|Allure Speaker_Mon(uk)|Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echo Look_Our2|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Amcrest Camera_IoTLS|Amcrest Camera_Mon(us)|Amcrest Camera_Our2|Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Belkin WeMo Switch_YT|Belkin Wemo switch_UNSW|Blink Camera_Mon(uk)|Blink Camera_Mon(us)|Bose Sound Touch10_YT|Canary_YT|D-Link Camera_IoT-Sentinel|D-Link DCS-5009L Camera_YT|D-Link Day Camera_IoT-Sentinel|D-Link Door Sensor_IoT-Sentinel|D-Link Sensor_IoT-Sentinel|D-Link Switch_IoT-Sentinel|D-Link Water Sensor_IoT-Sentinel|Dalen Light_selfdata|Dlink Mov_IoTLS|Dlink Mov_Mon(us)|Drop Camera_UNSW|Edimax Plug1101W_IoT-Sentinel|Edimax Plug2101W_IoT-Sentinel|Flux Bulb_Mon(us)|Fos Camera_Our2|Gosound Plug_selfdata|Govee Sensor_selfdata|HP Printer_UNSW|Harmon Kardon Invoke_YT|Home Matic Plug_IoT-Sentinel|HoneyWell Thermostat_Mon(uk)|Huawei Sound_selfdata|Hue Switch_IoT-Sentinel|Invoke_IoTLS|Invoke_Mon(us)|Koogeek Lightbulb_YT|LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|LIFX Bulb_YT|Lenovo Camera_selfdata|LiFX Bulb_UNSW|Logitech Logi Circle_YT|Magic Home Strip_Mon(uk)|Magic Home Strip_Mon(us)|Meross Dooropener_IoTLS|Microseven Camera_Mon(us)|Mijia Humidifier_selfdata|Mijia Plug_selfdata|Mijia Plugtwo_selfdata|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Netatmo Weather Station_Mon(uk)|Netatmo Weather Station_UNSW|Netatmo Welcome_UNSW|NetgearArlo Camera_YT|Philips Bulb_Mon(us)|Philips Light_selfdata|Ring Doorbell_Mon(uk)|Ring Doorbell_Mon(us)|Ring Doorbell_Our|Ring Doorbell_Our2|Ring Doorbell_YT|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Roomba_YT|Samsung Dryer_IoTLS|Samsung Dryer_Mon(us)|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Samsung SmartCam_UNSW|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us)|Smarter Brewer_IoTLS|Smarter Brewer_Mon(us)|Smarter Coffee_IoT-Sentinel|Smarter Coffee_Mon(uk)|Smartmi Humidifier_selfdata|Sonoff Camera_selfdata|Sonos_YT|T-wemo Plug_Mon(uk)|T-wemo Plug_Mon(us)|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link Camera_selfdata|TP-Link Day Night Cloud camera_UNSW|TP-Link Doorbell_selfdata|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT|Triby Speaker_UNSW|Tuya Plug_selfdata|Tuya Sensor_selfdata|Wansview Camera Wired_Mon(uk)|Wansview Camera Wired_Mon(us)|WeMo Insight Switch2_IoT-Sentinel|WeMo Insight Switch_IoT-Sentinel|WeMo Switch2_IoT-Sentinel|WeMo Switch_IoT-Sentinel|Wemo Plug_IoTLS|Wiz Light_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_Mon(uk)|Xiaomi Camera_selfdata|Xiaomi Cleaner_Mon(uk)|Xiaomi Cleaner_Mon(us)|Xiaomi Strip_Mon(us)|Yi Camera_IoTLS|Yi Camera_Mon(uk)|Yi Camera_Mon(us)|Yingshi Camera_selfdata|Yingshi Plug_selfdata|Zmodo Doorbell_IoTLS|Zmodo Doorbell_Mon(us)|deebot_cleaner|iHome_UNSW|smarter Ikettle_Mon(us)|smarter iKettle2_IoT-Sentinel|smarter ikettle_IoTLS
D1_C0002,Google Home,Ecosystem,44,137,Amcrest|Aqara|Arlo|Belkin|Bose|Canary|D-Link|Ecovacs|Edimax|Ezviz|Foscam|Google|Gosound|Harman Kardon|Homematic|HoneyWell|Koogeek|LG|Lenovo|LiFX|Logitech|Magic Home|Meross|Midea|Mijia|Nest|Netatmo|Philips|Roku|Roomba|Samsung|Smarter|Smartmi|Sonoff|Sonos|TP-Link|Tuya|Wansview|Wiz|Xiaomi|Yi|Zmodo|iHome|nVidia,Allure Speaker_Mon(uk)|Amcrest Camera_IoTLS|Amcrest Camera_Mon(us)|Amcrest Camera_Our2|Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Belkin WeMo Switch_YT|Belkin Wemo switch_UNSW|Bose Sound Touch10_YT|Canary_YT|D-Link Camera_IoT-Sentinel|D-Link DCS-5009L Camera_YT|D-Link Day Camera_IoT-Sentinel|D-Link Door Sensor_IoT-Sentinel|D-Link Sensor_IoT-Sentinel|D-Link Water Sensor_IoT-Sentinel|Dlink Mov_IoTLS|Dlink Mov_Mon(us)|Drop Camera_UNSW|Edimax Plug1101W_IoT-Sentinel|Edimax Plug2101W_IoT-Sentinel|Fos Camera_Our2|Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Gosound Plug_selfdata|Harmon Kardon Invoke_YT|Home Matic Plug_IoT-Sentinel|HoneyWell Thermostat_Mon(uk)|Hue Switch_IoT-Sentinel|Invoke_IoTLS|Invoke_Mon(us)|Koogeek Lightbulb_YT|LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|LIFX Bulb_YT|Lenovo Camera_selfdata|LiFX Bulb_UNSW|Logitech Logi Circle_YT|Magic Home Strip_Mon(uk)|Magic Home Strip_Mon(us)|Meross Dooropener_IoTLS|Midea Light_selfdata|Mijia Plug_selfdata|Mijia Plugtwo_selfdata|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Guard_YT|Nest Protect smoke alarm_UNSW|Nest Protect smoke alarm_YT|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Netatmo Welcome_UNSW|NetgearArlo Camera_YT|Philips Bulb_Mon(us)|Philips Light_selfdata|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Roomba_YT|Samsung Dryer_IoTLS|Samsung Dryer_Mon(us)|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Samsung SmartCam_UNSW|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us)|Smarter Brewer_IoTLS|Smarter Brewer_Mon(us)|Smarter Coffee_IoT-Sentinel|Smarter Coffee_Mon(uk)|Smartmi Humidifier_selfdata|Sonoff Camera_selfdata|Sonos_YT|T-wemo Plug_Mon(uk)|T-wemo Plug_Mon(us)|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link Camera_selfdata|TP-Link Day Night Cloud camera_UNSW|TP-Link Doorbell_selfdata|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT|Tuya Plug_selfdata|Tuya Sensor_selfdata|Wansview Camera Wired_Mon(uk)|Wansview Camera Wired_Mon(us)|WeMo Insight Switch2_IoT-Sentinel|WeMo Insight Switch_IoT-Sentinel|WeMo Switch2_IoT-Sentinel|WeMo Switch_IoT-Sentinel|Wemo Plug_IoTLS|Wiz Light_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_Mon(uk)|Xiaomi Camera_selfdata|Xiaomi Cleaner_Mon(uk)|Xiaomi Cleaner_Mon(us)|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|Xiaomi Strip_Mon(us)|Yi Camera_IoTLS|Yi Camera_Mon(uk)|Yi Camera_Mon(us)|Yingshi Camera_selfdata|Yingshi Plug_selfdata|Yingshi Sensor_selfdata|Zmodo Doorbell_IoTLS|Zmodo Doorbell_Mon(us)|deebot_cleaner|iHome_UNSW|nVidia Shield_YT|smarter Ikettle_Mon(us)|smarter iKettle2_IoT-Sentinel|smarter ikettle_IoTLS|xiaomitv_speaker
D1_C0003,Matter,Ecosystem,13,66,Amazon|Apple|Aqara|Ecovacs|Google|LG|LiFX|Nest|Philips|Samsung|TP-Link|Tuya|Wiz,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_IoTLS|Apple TV_Mon(uk)|Apple TV_Mon(us)|Apple home Pod_IoTLS|Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Hue Switch_IoT-Sentinel|LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|LIFX Bulb_YT|LiFX Bulb_UNSW|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Philips Bulb_Mon(us)|Philips Light_selfdata|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Sansung Fridge_Mon(us)|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT|Tuya Plug_selfdata|Tuya Sensor_selfdata|Wiz Light_selfdata|deebot_cleaner
D1_C0004,Apple HomeKit,Ecosystem,19,59,Apple|Aqara|Arlo|Belkin|D-Link|Ezviz|HoneyWell|Koogeek|LG|LiFX|Logitech|Meross|Netatmo|Philips|Roku|Smartmi|Sonos|TP-Link|Xiaomi,Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_IoTLS|Apple TV_Mon(uk)|Apple TV_Mon(us)|Apple home Pod_IoTLS|Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Belkin WeMo Switch_YT|Belkin Wemo switch_UNSW|D-Link Camera_IoT-Sentinel|D-Link DCS-5009L Camera_YT|D-Link Day Camera_IoT-Sentinel|Dlink Mov_IoTLS|Dlink Mov_Mon(us)|HoneyWell Thermostat_Mon(uk)|Hue Switch_IoT-Sentinel|Koogeek Lightbulb_YT|LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|LIFX Bulb_YT|LiFX Bulb_UNSW|Logitech Logi Circle_YT|Meross Dooropener_IoTLS|Netatmo Weather Station_Mon(uk)|Netatmo Weather Station_UNSW|Netatmo Welcome_UNSW|NetgearArlo Camera_YT|Philips Bulb_Mon(us)|Philips Light_selfdata|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Smartmi Humidifier_selfdata|Sonos_YT|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link Camera_selfdata|TP-Link Day Night Cloud camera_UNSW|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT|WeMo Insight Switch2_IoT-Sentinel|WeMo Insight Switch_IoT-Sentinel|WeMo Switch2_IoT-Sentinel|WeMo Switch_IoT-Sentinel|Xiaomi Strip_Mon(us)|Yingshi Camera_selfdata
D1_C0005,SmartThings,Ecosystem,12,42,Bose|HoneyWell|LiFX|Meross|Nest|Philips|Roomba|Samsung|Sonos|TP-Link|Tuya|Wiz,Bose Sound Touch10_YT|Drop Camera_UNSW|HoneyWell Thermostat_Mon(uk)|Hue Switch_IoT-Sentinel|LIFX Bulb_YT|LiFX Bulb_UNSW|Meross Dooropener_IoTLS|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Philips Bulb_Mon(us)|Philips Light_selfdata|Roomba_YT|Samsung Dryer_IoTLS|Samsung Dryer_Mon(us)|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Samsung SmartCam_UNSW|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us)|Sonos_YT|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT|Tuya Plug_selfdata|Tuya Sensor_selfdata|Wiz Light_selfdata
D1_C0006,Xiaomi Mi Home,Ecosystem,9,29,Aqara|Bull|Mijia|Philips|Smartmi|Xiaobai|Xiaomi|Xiaovv|Yi,Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Bull Plug_selfdata|Hue Switch_IoT-Sentinel|Mijia Humidifier_selfdata|Mijia Plug_selfdata|Mijia Plugtwo_selfdata|Philips Bulb_Mon(us)|Philips Light_selfdata|Smartmi Humidifier_selfdata|Xiaobai Camera_selfdata|Xiaobai Doorbell_selfdata|Xiaobai Y2camera_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_Mon(uk)|Xiaomi Camera_selfdata|Xiaomi Cleaner_Mon(uk)|Xiaomi Cleaner_Mon(us)|Xiaomi Ricecooker_Mon(us)|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|Xiaomi Strip_Mon(us)|Xiaovv Camera_selfdata|Yi Camera_IoTLS|Yi Camera_Mon(uk)|Yi Camera_Mon(us)|xiaobaismart_camera|xiaomitv_speaker
D1_C0007,Parent/Subsidiary (Amazon/Ring),Parent/Subsidiary,2,26,Amazon|Ring,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echo Look_Our2|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Ring Doorbell_Mon(uk)|Ring Doorbell_Mon(us)|Ring Doorbell_Our|Ring Doorbell_Our2|Ring Doorbell_YT
D1_C0008,Parent/Subsidiary (Amazon/Blink),Parent/Subsidiary,2,23,Amazon|Blink,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echo Look_Our2|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Blink Camera_Mon(uk)|Blink Camera_Mon(us)
D1_C0009,Amazon Key,Ecosystem,2,18,Amazon|Chamberlain,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echo Look_Our2|Amazon Echodot3a_IoTLS|Amazon T-echodot_IoTLS|Chamberlain myq Garage Opener_YT
D1_C0010,Parent/Subsidiary (Google/Nest),Parent/Subsidiary,2,18,Google|Nest,Drop Camera_UNSW|Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Guard_YT|Nest Protect smoke alarm_UNSW|Nest Protect smoke alarm_YT|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)
